Coefficient,Order
2666969.412247786,0
-6024374.129655678,1
5940765.93086038,2
-3340336.076650967,3
1171306.1942793787,4
-262289.5327568561,5
36628.562140483366,6
-2916.5372099012748,7
101.37684409359223,8
