OCV,Current (mA),SOC,Resistance (ohm),dSOC/dOCV
3.656,-0.3,0.2484967,0.0133333333333333,68.8322225000002
3.652,-0.7,0.2457465889,0.00571428571428572,68.7527774999994
3.644,-0.4,0.2375116222,0.02,102.93708375
3.636,-0.7,0.2347723556,0.0114285714285714,34.2408324999998
3.632,-0.6,0.2293019556,0.00666666666666667,136.76
3.628,-0.6,0.2265874333,0.00666666666666667,67.8630574999998
3.624,-0.7,0.2238753667,0.00571428571428572,67.8016650000001
3.62,-0.6,0.2211653889,0.00666666666666667,67.7494449999996
3.616,-0.5,0.2184624889,0.00800000000000001,67.5725000000002
3.612,-0.6,0.2157611333,0.00666666666666667,67.5338900000002
3.608,-0.5,0.2103490222,0.00800000000000001,135.302777499999
3.6,-0.5,0.2049438333,0.016,67.5648612500003
3.596,-0.5,0.1968470889,0.00800000000000001,202.41861
3.592,-0.4,0.194152,0.01,67.3772225
3.588,-0.5,0.1914585556,0.00800000000000001,67.3361099999998
3.584,-0.5,0.1887674556,0.00800000000000001,67.2775
3.58,-0.7,0.1833899556,0.00571428571428572,134.4375
3.572,-0.4,0.1807046111,0.02,33.5668062499999
3.568,-0.7,0.1780212444,0.00571428571428572,67.0841674999998
3.564,-0.4,0.1699792556,0.01,201.04972
3.56,-0.4,0.1673035444,0.01,66.8927799999996
3.556,-0.5,0.1646318,0.00800000000000001,66.7936100000002
3.552,-0.6,0.1619612111,0.00666666666666667,66.7647224999998
3.548,-0.7,0.1566214778,0.00571428571428572,133.4933325
3.544,-0.6,0.1512906667,0.00666666666666667,133.2702775
3.536,-0.5,0.1486280667,0.016,33.2824999999998
3.532,-0.5,0.1406516778,0.00800000000000001,199.4097225
3.528,-0.6,0.1379975111,0.00666666666666667,66.3541675000003
3.524,-0.5,0.1353453778,0.00800000000000001,66.3033324999999
3.52,-0.7,0.130048,0.00571428571428572,132.434445
3.516,-0.5,0.1274027111,0.00800000000000001,66.1322224999996
3.512,-0.6,0.1247599333,0.00666666666666667,66.0694450000002
3.508,-0.4,0.1221194,0.01,66.0133324999999
3.504,-0.3,0.1168435778,0.0133333333333333,131.895555
3.5,-0.5,0.1115742778,0.00800000000000001,131.7325
3.496,-0.7,0.1089416111,0.00571428571428572,65.8166674999998
3.488,-0.6,0.0984285,0.0133333333333333,131.41388875
3.484,-0.4,0.0905599,0.01,196.715
3.48,-0.4,0.08532178889,0.01,130.95277775
3.476,-0.8,0.082705,0.005,65.4197222499999
3.472,-0.6,0.07749716667,0.00666666666666667,130.19583325
3.468,-0.7,0.07229255556,0.00571428571428572,130.11527775
3.464,-0.4,0.06969326667,0.01,64.9822222499998
3.46,-0.5,0.06449743333,0.00800000000000001,129.8958335
3.452,-0.6,0.06190413333,0.0133333333333333,32.4162500000001
3.444,-0.5,0.05672515556,0.016,64.737222125
3.44,-0.6,0.05413942222,0.00666666666666667,64.6433335
3.432,-0.5,0.05156065556,0.016,32.2345832499999
3.424,-0.8,0.04898736667,0.01,32.166111125
3.412,-0.5,0.04642093333,0.024,21.3869445
3.4,-0.4,0.04386203333,0.03,21.3241666666666
3.392,-0.6,0.04130966667,0.0133333333333333,31.90458325
3.38,-0.6,0.03876728889,0.02,21.1864815
3.368,-0.5,0.03623495556,0.024,21.10277775
3.348,-0.7,0.03371286667,0.0285714285714286,12.61044445
3.332,-0.5,0.03120521111,0.032,15.67284725
3.32,-0.9,0.02870768889,0.0133333333333333,20.8126851666666
3.3,-0.7,0.02622306667,0.0285714285714286,12.4231111
3.28,-0.6,0.02375151111,0.0333333333333334,12.3577778
3.264,-0.6,0.02129347778,0.0266666666666667,15.3627083125
3.244,-0.4,0.01885022222,0.0499999999999989,12.2162778000003
3.224,-0.4,0.01642143333,0.05,12.14394445
3.196,-0.6,0.01401083333,0.0466666666666667,8.6092857142857
3.168,-0.7,0.01161831111,0.04,8.54472221428571
3.14,-0.7,0.0092464333333349,0.04,8.47099205951821
3.112,-0.9,0.006896522222223,0.0311111111111111,8.39253968254249
3.08,-0.5,0.004568866666667,0.0640000000000001,7.27392361111249
3.04,-0.6,0.002269555555555,0.0666666666666667,5.74827777778
3,-0.6,0,0.0666666666666667,5.67388888888749
