OCV,Current (mA),SOC,Resistance (ohm),dSOC/dOCV
4.2,-0.7,1,0,0
4.156,-0.7,0.9751169111,0.0628571428571436,56.5524747727267
4.132,-0.7,0.9720067222,0.0342857142857143,12.9591204166668
4.12,-0.5,0.9689015556,0.0239999999999991,25.8763883333337
4.116,-0.5,0.9658012222,0.0080000000000009,77.5083349999924
4.108,-0.6,0.9627053222,0.0133333333333333,38.6987499999991
4.104,-0.7,0.9596133111,0.00571428571428509,77.3002775000089
4.096,-0.7,0.9534396111,0.0114285714285714,77.1712500000007
4.084,-0.7,0.9503591444,0.0171428571428578,25.670555833332
4.076,-0.7,0.9442076889,0.0114285714285714,76.8931937500008
4.072,-0.7,0.9380833889,0.00571428571428509,153.107500000016
4.068,-0.8,0.9350242222,0.00500000000000056,76.4791674999902
4.064,-0.6,0.9319672111,0.00666666666666593,76.4252775000086
4.06,-0.5,0.9289123333,0.0080000000000009,76.371944999992
4.056,-0.4,0.9228028889,0.0099999999999989,152.736110000018
4.048,-0.7,0.919751,0.0114285714285714,38.1486112499995
4.04,-0.5,0.9076068111,0.016,151.80236125
4.036,-0.5,0.9015559778,0.0080000000000009,151.270832499983
4.032,-0.5,0.8985311333,0.00799999999999912,75.6211125000073
4.028,-0.6,0.8864140222,0.00666666666666741,302.927777499967
4.024,-0.6,0.8773315444,0.00666666666666593,227.061945000023
4.02,-0.6,0.8712788111,0.00666666666666741,151.318332499983
4.016,-0.7,0.8592072556,0.00571428571428509,301.788887500035
4.012,-0.4,0.8441213333,0.0100000000000011,377.148057499956
4.008,-0.8,0.8230576444,0.00499999999999945,526.592222500061
4.004,-0.6,0.8080165,0.00666666666666741,376.028609999956
4,-0.7,0.7840267333,0.00571428571428509,599.744167500068
3.996,-0.5,0.7810265778,0.00800000000000001,75.0038874999997
3.992,-0.6,0.7570516556,0.00666666666666667,599.373054999999
3.988,-0.5,0.7510645444,0.00800000000000001,149.677779999999
3.984,-0.4,0.7391110333,0.01,298.837777499999
3.98,-0.7,0.7361253,0.00571428571428572,74.6433325000017
3.976,-0.5,0.7181964111,0.00800000000000001,448.2222225
3.968,-0.6,0.7062349444,0.0133333333333333,149.51833375
3.964,-0.5,0.7032496111,0.00800000000000001,74.6333325000014
3.96,-0.5,0.6913369111,0.00800000000000001,297.8175
3.956,-0.5,0.6883619111,0.00800000000000001,74.3749999999987
3.952,-0.6,0.6794380222,0.00666666666666667,223.097222499999
3.948,-0.6,0.6764668,0.00666666666666667,74.2805550000002
3.944,-0.7,0.6646301111,0.00571428571428572,295.9172225
3.936,-0.7,0.6587283556,0.0114285714285714,73.7719437500006
